episode,score
2.960000000000000000e+02,4.033011973343268863e+01
2.970000000000000000e+02,4.021864671082784781e+01
2.980000000000000000e+02,4.026478704882494952e+01
2.990000000000000000e+02,4.028987805759025065e+01
3.000000000000000000e+02,4.035344821250529890e+01
3.010000000000000000e+02,4.038576615471640707e+01
3.020000000000000000e+02,4.051491268347321295e+01
3.030000000000000000e+02,4.041413934731806989e+01
3.040000000000000000e+02,4.061940304013907621e+01
3.050000000000000000e+02,4.072566490283356444e+01
3.060000000000000000e+02,4.056462740800967737e+01
3.070000000000000000e+02,4.076385198255449183e+01
3.080000000000000000e+02,4.063853512764713116e+01
3.090000000000000000e+02,4.071628375163923153e+01
3.100000000000000000e+02,4.093255089871267671e+01
3.110000000000000000e+02,4.081265766016332464e+01
3.120000000000000000e+02,4.092381736662178326e+01
3.130000000000000000e+02,4.083069231428329005e+01
3.140000000000000000e+02,4.082021456991322594e+01
3.150000000000000000e+02,4.078201978329548893e+01
3.160000000000000000e+02,4.092456630164611653e+01
3.170000000000000000e+02,4.103762639833163917e+01
3.180000000000000000e+02,4.091566703378438064e+01
3.190000000000000000e+02,4.099224898012467122e+01
3.200000000000000000e+02,4.110405884631379081e+01
3.210000000000000000e+02,4.110497277628356727e+01
3.220000000000000000e+02,4.110085937399319533e+01
3.230000000000000000e+02,4.109498906050109213e+01
3.240000000000000000e+02,4.124877691504852351e+01
3.250000000000000000e+02,4.128384309619242742e+01
3.260000000000000000e+02,4.118593570235884727e+01
3.270000000000000000e+02,4.138845635198651962e+01
3.280000000000000000e+02,4.135336558041569077e+01
3.290000000000000000e+02,4.156612037329653475e+01
3.300000000000000000e+02,4.117858797266629978e+01
3.310000000000000000e+02,4.145313409280363004e+01
3.320000000000000000e+02,4.140393603431701308e+01
3.330000000000000000e+02,4.140983378190840369e+01
3.340000000000000000e+02,4.155033566827020053e+01
3.350000000000000000e+02,4.154990716627692393e+01
3.360000000000000000e+02,4.141927715658973597e+01
3.370000000000000000e+02,4.175596318105644400e+01
3.380000000000000000e+02,4.152860005259233844e+01
3.390000000000000000e+02,4.156890117423871800e+01
3.400000000000000000e+02,4.167521007128610222e+01
3.410000000000000000e+02,4.155960851984254845e+01
3.420000000000000000e+02,4.178154377692543164e+01
3.430000000000000000e+02,4.169338220245428772e+01
3.440000000000000000e+02,4.182394860834543948e+01
3.450000000000000000e+02,4.183947009211649970e+01
3.460000000000000000e+02,4.183507763578437277e+01
3.470000000000000000e+02,4.188260423592695503e+01
3.480000000000000000e+02,4.192226034725129580e+01
3.490000000000000000e+02,4.194334890508068980e+01
3.500000000000000000e+02,4.205263109070599370e+01
3.510000000000000000e+02,4.184727594153530106e+01
3.520000000000000000e+02,4.197587047265041349e+01
3.530000000000000000e+02,4.203413298723311442e+01
3.540000000000000000e+02,4.212168259913797641e+01
3.550000000000000000e+02,4.202333346155653260e+01
3.560000000000000000e+02,4.207702188833154366e+01
3.570000000000000000e+02,4.217301920120793568e+01
