episode,score
1.960000000000000000e+02,3.348095868216189785e+01
1.970000000000000000e+02,3.367765984211040120e+01
1.980000000000000000e+02,3.375894372857206349e+01
1.990000000000000000e+02,3.373073381413620098e+01
2.000000000000000000e+02,3.366188141310059478e+01
2.010000000000000000e+02,3.383097320737139313e+01
2.020000000000000000e+02,3.397174344878273899e+01
2.030000000000000000e+02,3.390970660156109773e+01
2.040000000000000000e+02,3.400520508685660559e+01
2.050000000000000000e+02,3.416570309467663691e+01
2.060000000000000000e+02,3.410329869788758828e+01
2.070000000000000000e+02,3.408751646330397733e+01
2.080000000000000000e+02,3.424185982862496047e+01
2.090000000000000000e+02,3.433670978782659233e+01
2.100000000000000000e+02,3.433906534199513771e+01
2.110000000000000000e+02,3.439986035065134473e+01
2.120000000000000000e+02,3.423031126733994256e+01
2.130000000000000000e+02,3.455458154664322024e+01
2.140000000000000000e+02,3.452141534144352164e+01
2.150000000000000000e+02,3.457416910182313075e+01
2.160000000000000000e+02,3.461541874018922726e+01
2.170000000000000000e+02,3.460443840183641839e+01
2.180000000000000000e+02,3.464019659111171734e+01
2.190000000000000000e+02,3.483660070143065468e+01
2.200000000000000000e+02,3.476287770776828268e+01
2.210000000000000000e+02,3.489516450057226393e+01
2.220000000000000000e+02,3.484650092925610210e+01
2.230000000000000000e+02,3.496206370675464115e+01
2.240000000000000000e+02,3.487918652740960113e+01
2.250000000000000000e+02,3.509578953545387492e+01
2.260000000000000000e+02,3.499808527057503227e+01
2.270000000000000000e+02,3.502690639879780576e+01
2.280000000000000000e+02,3.509222756267708121e+01
2.290000000000000000e+02,3.506844413056697363e+01
2.300000000000000000e+02,3.511753207064253957e+01
2.310000000000000000e+02,3.509880895128676315e+01
2.320000000000000000e+02,3.537221223107118817e+01
2.330000000000000000e+02,3.518936757055970332e+01
2.340000000000000000e+02,3.525642014945080405e+01
2.350000000000000000e+02,3.550516051902732073e+01
2.360000000000000000e+02,3.548257519504139879e+01
2.370000000000000000e+02,3.544762458568532537e+01
2.380000000000000000e+02,3.551132437385797402e+01
2.390000000000000000e+02,3.557479068382235710e+01
2.400000000000000000e+02,3.558351615753900887e+01
2.410000000000000000e+02,3.565693072519996321e+01
2.420000000000000000e+02,3.567342092883514226e+01
2.430000000000000000e+02,3.566830819858826374e+01
2.440000000000000000e+02,3.584369206752330683e+01
2.450000000000000000e+02,3.605894235717263285e+01
2.460000000000000000e+02,3.580374847704789687e+01
2.470000000000000000e+02,3.575284004927519277e+01
